Identificación del encuestado,Fecha de inicio,Fecha de fin,¿Conoce los nutrientes escenciales para que el cuerpo tenga un funcionamiento adecuado?,¿Cuál de los siguientes nutrientes concidera que consume más?,Considero que mi alimentación ___________ satisface mi actividad física diaria.,Considero que mi alimentación ___________ cubre los nutrientes escenciales,Entre semana ¿cuántas veces al dia come platillos preparados en casa?,Los fines de semana ¿cuántas veces al dia come platillos preparados en casa?,Huevo o lácteos,Café o té descafeinados,Café o té con cafeina,Refrescos o bebidas endulzadas,Refrescos bajos en calorias,Carne de res,Carne de pollo,Carne de cerdo,Pescados o mariscos,Nueces y semillas,Frutas,Verduras,Legumbres,Cereales o pastas,Dulces,Salchichas o carnes frias,Pan dulce,Suplementos alimenticios,Considera que llevar una alimentación saludable es:
4140719518,08/15/2015 02:29:01,08/15/2015 02:35:14,"Sí, la mayoria",Hidratos de carbono (azucares),Ocasionalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Nada,Regulamente consumo,Regulamente consumo,Nada,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4140716208,08/15/2015 02:25:05,08/15/2015 02:27:39,"Sí, todos",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Nada,Raras veces,Muy poco,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Lo que más consumo,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4140649571,08/15/2015 00:55:38,08/15/2015 00:59:18,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Regulamente consumo,Raras veces,Lo que más consumo,Raras veces,Regulamente consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,No lo he considerado
4140639234,08/15/2015 00:43:49,08/15/2015 00:44:49,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
4140629108,08/15/2015 00:30:59,08/15/2015 00:33:50,"Sí, todos",Proteinas,Pocas veces,Pocas veces,Más de 3 veces al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Muy poco,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4140602320,08/14/2015 23:57:29,08/15/2015 00:04:27,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Muy poco,Lo que más consumo,Regulamente consumo,Raras veces,Muy poco,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Raras veces,Muy poco,Muy poco,Nada,Barata y es fácil de prerarar
4140591518,08/14/2015 23:43:32,08/14/2015 23:47:08,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Lo que más consumo,Nada,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4140585883,08/14/2015 23:38:00,08/14/2015 23:46:18,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4140579451,08/14/2015 23:30:44,08/14/2015 23:35:10,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Muy poco,Muy poco,Nada,Nada,Muy poco,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Raras veces,Nada,Lo que más consumo,"Barata, pero consume mucho tiempo prepararla"
4140569315,08/14/2015 23:20:07,08/14/2015 23:22:40,"Sí, todos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,Más de 3 veces al dia,1 vez al dia,Raras veces,Nada,Lo que más consumo,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4140543365,08/14/2015 22:53:23,08/14/2015 22:57:11,"Sí, todos",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Nada,Raras veces,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Raras veces,Muy poco,Regulamente consumo,Nada,"Cara, pero no consume mucho tiempo prepararla"
4140534288,08/14/2015 22:44:35,08/14/2015 23:05:37,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Nada,Nada,Nada,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Nada,Regulamente consumo,Nada,No lo he considerado
4140531131,08/14/2015 22:41:45,08/14/2015 22:42:58,"Sí, todos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,,,,,,,,,,,,,,,,,,,
4140530926,08/14/2015 22:41:30,08/14/2015 22:43:30,"Sí, algunos",Hidratos de carbono (azucares),Pocas veces,Pocas veces,1 vez al dia,1 vez al dia,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Nada,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Nada,Raras veces,Raras veces,Raras veces,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4140514151,08/14/2015 22:25:59,08/14/2015 22:28:07,"Sí, algunos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,Más de 3 veces al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
4140495378,08/14/2015 22:10:04,08/14/2015 22:12:17,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4140494701,08/14/2015 22:09:32,08/14/2015 22:13:04,"Sí, todos",Hidratos de carbono (azucares),Pocas veces,Pocas veces,1 vez al dia,3 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Nada,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Raras veces,Cara y consume mucho tiempo prepararla
4140489032,08/14/2015 22:03:21,08/14/2015 22:08:22,"Sí, la mayoria",Vitaminas,Generalmente,Generalmente,Más de 3 veces al dia,3 veces al dia,Raras veces,Muy poco,Nada,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Muy poco,Raras veces,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4140488997,08/14/2015 22:04:45,08/14/2015 22:07:33,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Nada,Nada,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4140488267,08/14/2015 22:04:04,08/14/2015 22:06:22,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,3 veces al dia,1 vez al dia,Muy poco,Lo que más consumo,Lo que más consumo,Regulamente consumo,Nada,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4140486064,08/14/2015 22:02:04,08/14/2015 22:04:24,"Sí, algunos",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,2 veces al dia,Más de 3 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Raras veces,Muy poco,Nada,"Cara, pero no consume mucho tiempo prepararla"
4138824313,08/14/2015 02:16:16,08/14/2015 02:19:44,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Nada,Regulamente consumo,Cara y consume mucho tiempo prepararla
4138480127,08/13/2015 22:07:35,08/13/2015 22:10:10,"Sí, la mayoria",Hidratos de carbono (azucares),Pocas veces,Ocasionalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Nada,Muy poco,Raras veces,Muy poco,Regulamente consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4134321160,08/11/2015 22:34:16,08/11/2015 22:38:47,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Raras veces,Raras veces,Raras veces,Nada,Barata y es fácil de prerarar
4132830595,08/11/2015 10:35:05,08/11/2015 10:38:31,"Sí, la mayoria",Proteinas,Ocasionalmente,Generalmente,2 veces al dia,3 veces al dia,Muy poco,Nada,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Nada,Cara y consume mucho tiempo prepararla
4131533097,08/10/2015 18:17:15,08/10/2015 18:38:20,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Raras veces,Nada,Lo que más consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Muy poco,Cara y consume mucho tiempo prepararla
4131362448,08/10/2015 16:59:30,08/10/2015 17:01:30,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Raras veces,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4131208451,08/10/2015 15:29:50,08/10/2015 15:32:45,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,"Cara, pero no consume mucho tiempo prepararla"
4131086540,08/10/2015 14:32:00,08/10/2015 14:35:44,"Sí, algunos",Carbohidratos,Generalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Nada,Nada,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Muy poco,Lo que más consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4131080590,08/10/2015 14:29:20,08/10/2015 20:06:40,"Sí, todos",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Raras veces,Barata y es fácil de prerarar
4130963007,08/10/2015 13:40:02,08/10/2015 13:43:57,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4130928698,08/10/2015 13:24:48,08/10/2015 13:29:05,Ninguno,Carbohidratos,Generalmente,Ocasionalmente,1 vez al dia,2 veces al dia,Lo que más consumo,Nada,Lo que más consumo,Regulamente consumo,Nada,Lo que más consumo,Lo que más consumo,Nada,Muy poco,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Nada,Cara y consume mucho tiempo prepararla
4128946987,08/08/2015 13:38:20,08/08/2015 13:42:56,"Sí, la mayoria",Vitaminas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4128441678,08/08/2015 00:59:47,08/08/2015 01:02:41,"Sí, todos",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Lo que más consumo,Nada,Raras veces,Muy poco,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Lo que más consumo,Muy poco,Nada,Regulamente consumo,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4128314299,08/07/2015 22:54:53,08/07/2015 22:58:14,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4127930828,08/07/2015 18:45:25,08/07/2015 18:48:03,"Sí, algunos",Minerales,Ocasionalmente,Generalmente,3 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Regulamente consumo,Nada,Raras veces,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Muy poco,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4127928183,08/07/2015 18:18:07,08/07/2015 18:44:57,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,1 vez al dia,1 vez al dia,,,,,,,,,,,,,,,,,,,
4127913682,08/07/2015 18:36:03,08/07/2015 18:39:41,"Sí, todos",Proteinas,Generalmente,Ocasionalmente,1 vez al dia,3 veces al dia,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Raras veces,Nada,Nada,Muy poco,Muy poco,Nada,Muy poco,Muy poco,Regulamente consumo,Nada,Raras veces,Cara y consume mucho tiempo prepararla
4127822524,08/07/2015 17:47:28,08/07/2015 17:50:29,"Sí, algunos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Muy poco,Muy poco,Raras veces,Raras veces,Nada,Raras veces,Raras veces,Raras veces,Raras veces,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4127793061,08/07/2015 17:31:47,08/07/2015 17:32:46,"Sí, la mayoria",Proteinas,,,,,,,,,,,,,,,,,,,,,,,
4127671036,08/07/2015 15:38:25,08/07/2015 16:36:39,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Nada,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Raras veces,Nada,Cara y consume mucho tiempo prepararla
4127657832,08/07/2015 16:24:23,08/07/2015 16:27:09,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Lo que más consumo,Nada,Lo que más consumo,Raras veces,Muy poco,Muy poco,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Raras veces,Nada,Nada,Nada,"Cara, pero no consume mucho tiempo prepararla"
4127519284,08/07/2015 15:25:17,08/07/2015 15:31:49,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Raras veces,Raras veces,Nada,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Muy poco,Raras veces,Regulamente consumo,Barata y es fácil de prerarar
4127464490,08/07/2015 15:08:08,08/07/2015 15:12:17,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Muy poco,Raras veces,Muy poco,Muy poco,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,No lo he considerado
4127295121,08/07/2015 13:48:12,08/07/2015 13:52:45,"Sí, la mayoria",Fibra,Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Muy poco,Raras veces,Raras veces,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Muy poco,Raras veces,Muy poco,No lo he considerado
4127268434,08/07/2015 13:31:17,08/07/2015 13:37:11,"Sí, algunos",Hidratos de carbono (azucares),Ocasionalmente,Pocas veces,1 vez al dia,2 veces al dia,Muy poco,Nada,Raras veces,Muy poco,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Muy poco,Raras veces,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4127191289,08/07/2015 12:50:39,08/07/2015 12:53:55,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Lo que más consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4127022219,08/07/2015 10:34:35,08/07/2015 10:39:06,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,2 veces al dia,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4126689990,08/07/2015 04:05:08,08/07/2015 04:09:37,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Ocasionalmente,2 veces al dia,Más de 3 veces al dia,Regulamente consumo,Nada,Nada,Nada,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Nada,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4126635082,08/07/2015 03:13:25,08/07/2015 03:17:30,"Sí, todos",Carbohidratos,Generalmente,Ocasionalmente,3 veces al dia,2 veces al dia,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Nada,Regulamente consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
