Huevo o lácteos,Café o té descafeinados,Café o té con cafeina,Refrescos o bebidas endulzadas,Refrescos bajos en calorias,Carne de res,Carne de pollo,Carne de cerdo,Pescados o mariscos,Nueces y semillas,Frutas,Verduras,Legumbres,Cereales o pastas,Dulces,Salchichas o carnes frias,Pan dulce,Suplementos alimenticios
0.8,0.4,0.4,0.4,0.4,0.8,0.8,0.1,1,1,1,1,1,0.8,0.1,0.1,0.8,0.1
0.8,0.8,0.4,0.1,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0,0,0,0
1,1,0.8,0,0.1,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0.8,0.4,1
0.8,0.1,1,0.1,0.1,0.4,0.8,0,0.1,0.8,1,1,0.8,0.8,0.1,0.4,0.8,0
0.8,0,1,0.1,0,0.4,0.8,0.8,0.8,0.8,1,1,1,0.8,0.4,0.1,0.8,0
0.8,0,0.8,0.1,0.1,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.1,0.4,0.4,0.8
0.4,0.4,1,0.4,0,0.8,0.8,0.8,0.1,0.4,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0
0.8,0.1,1,0.1,0.1,0.8,1,0.8,0.8,0.8,1,0.8,0.8,1,0.1,0.4,0.1,0
0.8,0.4,0.8,0.1,0,0.1,1,0.1,0.8,0.1,1,0.4,0.4,0.1,0.4,0.1,0.8,0
1,0.4,0.8,0.1,0.4,0.4,1,0.4,0.4,1,1,1,0.8,1,0.4,0.8,0.8,0
0.8,0.8,0.1,0,0,1,0.8,0.1,0.4,0.8,0.4,0.8,0.4,0.8,1,1,0.8,0.1
0.4,0,1,0.1,0,0.1,0.4,0.1,0,0.8,0.1,0.1,0.1,0.8,1,0.1,1,0
0.8,0.4,0.1,0.4,0,0.8,0.8,0.4,0.1,0.1,0.4,0.4,0.4,0.1,0.1,0,0.4,0
0.8,0,1,0.1,0,0.8,0.4,0.4,0,1,1,1,0.4,1,0,0.4,0.4,0
0.8,0.4,0.8,0.1,0,0.8,0.8,0.4,0.8,0.4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0
0.1,0,0.8,0.1,0.4,0.8,0.8,0.8,0,0.1,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.4,0.4,0.1,0.1,0.8,0.4,0.1,0.8,0.4,0.8,0.8,0.1,0.4,0.1,0,1,0
0.8,0,0.8,0.8,0.1,0.8,0.8,0,0.1,0.4,0.4,0.8,0.8,1,0.8,0.1,0.8,0.4
1,0,0.8,0.1,0,0.1,1,0.1,0.4,0.4,1,1,0.4,0.8,0.1,0.1,0.4,0.1
0.4,0.4,0.8,1,0.8,1,1,0.8,0.4,0,0.8,0.4,0.4,0.4,1,0.8,0.8,0.1
0.1,0,0.8,0.1,0,0.4,0.4,0.4,0.4,0.8,1,1,1,0.8,0.1,0.1,0,1
0.8,0.4,0.4,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,1,1,0.4
0.8,0.8,0,0,0,0.8,0.8,0.8,0.8,1,1,1,0.8,1,0.1,0.4,0.8,0
0.8,0,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0,0,0
0.8,0.1,0.8,0.8,0,0.8,0.8,0.8,0.8,0.4,0.1,0.4,0.4,0.8,0.4,0.8,0.8,0
0.8,0.4,1,0.8,0,0.1,0.4,0,0.4,0.8,1,1,0.4,0.4,0.4,0,0,0.4
0.4,1,1,0.1,0.1,0.8,0.8,0.8,0.8,1,1,1,1,0.8,0.4,0.8,0.1,0
0.8,0.8,0.8,0.8,0.1,0.8,0.4,0.4,0.4,0.4,0.4,0.8,0.8,1,0.1,0.8,0.1,0.1
0.8,0,0.8,0.1,0,0.8,0.4,0.1,0.1,0.4,0.8,0.8,0.1,0.8,0.4,0.4,0.8,0
0,0,0,0,0.1,0.4,0.8,0.1,0.8,0.8,0.8,1,0.8,0.4,0,0.1,0,1
0.8,0.4,0.1,1,0,0.8,0.8,0.8,0.1,0.8,0.4,0.1,0.4,0.8,0.1,0.8,0.1,0.1
1,1,0,0.1,0,0.4,0.8,0.4,0.4,0.8,0.8,0.8,0.8,1,0.1,0.8,0.4,0.8
1,0.1,1,0.4,0.8,0.8,0.4,0.4,0.4,0.1,0.4,0.8,0.1,0.8,0.4,0.4,0.4,0
0.8,0.8,0.1,0,0,0.4,0.8,0.1,0.1,0.4,0.8,0.8,0.1,0.8,0.8,0.4,0.4,0
1,0.1,0.1,0.4,0,1,0.8,0.8,0.8,0.1,0.4,0.4,0.8,0.8,0.4,0.8,0.4,0
1,0,0,1,1,0.8,0.8,0.4,0.8,0.4,0.8,0.4,0.1,0.8,0,0.4,0.1,0
0.8,0,1,0.1,0.1,0.4,0.8,0,0.8,0.8,0.8,0.8,0.4,0.1,0.1,0.1,0.4,0.8
0.8,0.4,0.8,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.1,0.1,0.1,0.4,0.1,0
0.8,0,1,0.8,0.1,0.1,0.1,0.1,0.4,0.1,0.1,1,1,1,0.1,0.1,0.4,0.8
0.8,0.1,0.8,0.1,0.1,1,1,0.8,0.8,0.8,1,1,0.8,1,0.4,0.4,0.8,1
0.8,0.1,0.1,0.8,0,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.1,0.4,0.4,0
1,1,0.8,0.1,0,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0
1,0,0.8,0,0,0.8,0.8,0.1,0,0,0.8,0.8,0,1,0,0.8,0.8,0
1,0,0.1,0.4,0,1,0.8,0.8,0.8,0.4,0.4,0.8,0.8,1,0.1,1,0.1,0
0.8,0.8,0.1,1,0.1,0.8,1,0.8,0.4,0.4,0.8,0.8,0.8,1,1,0.8,0.8,0.1
0.8,0.8,1,0.4,0.8,0.8,1,0.4,0.8,0.8,1,1,0.8,0.4,0,0.4,0.8,0
1,0.4,1,0.8,0.1,0.4,1,0.8,0.8,0.8,1,1,0.8,1,0.1,0.4,0.4,0
1,0,1,0.4,0.4,0.8,0.8,0.1,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.1
0.8,0,0.8,0,1,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.1,0.1,0.4,0
1,0.4,0.4,0,0,0.4,1,0,0.8,0.8,1,1,1,0.1,0.1,0.1,0,1
0.1,0,1,0.8,0,0.8,0.8,0.1,0.4,0.8,0.1,0.8,0.8,0.8,0.8,0.8,1,0.1
0.8,0,0.1,0.1,0.1,0.8,0.8,0.8,0,0.4,0.8,0.4,0.4,1,0.1,0.4,0.8,0
0.8,0.8,0.8,0.4,0,0,0,0,0.4,0.8,0.4,0.8,1,1,0.4,0,0.8,0
0.8,0,1,0.8,0,0.8,0,0.8,0.4,0,0.1,0.1,0.1,0.8,1,1,0.4,0
0.8,0,0.8,0.1,0,0.4,0.8,0.8,0.4,0.8,0.8,0.8,0.8,1,1,0.4,0.8,0
0.8,0.1,0.8,0,0,0.8,0.8,0.4,0.8,0,0.4,0.4,0.4,0.8,0.8,1,0.8,0.1
0.1,0.4,0,0.1,0,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.1,0.4,0.1,0.1
0.8,0,0,0.4,0,0.8,0.8,0,0.4,0.8,0.8,0.8,0.4,0.8,0.1,0.1,0.4,0
0.4,1,1,0.8,0,1,1,1,1,1,1,0.4,0.4,0.8,0.4,0.8,0.4,0
0.8,0,0.8,0,0,0.8,0.8,0.1,0.8,0.8,1,1,0.8,0.4,0,0.1,0.4,0
0.8,0,0.8,0,0.1,0.8,0.8,0,1,0.8,0.8,0.8,0.8,0.4,0,0.8,0,0.8
0.8,0.1,0,0.4,0.1,0.4,0.8,0.1,0,0.4,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0
0.8,0.1,0.8,0.1,0.1,0.4,0.8,0,0.4,0.8,1,1,0.8,1,0.1,0.1,0.1,0
0.4,0,0.8,0.1,0,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.1,0
0.1,0,1,0.1,0.1,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.4,0.4,0.4
1,0.1,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.1,0.4,0.4,0
0.8,0,0.1,0.8,0.8,0.4,0.8,0.1,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0
1,0,0,0,0,0.8,0.8,0.1,0.1,0.4,1,0.8,0.4,0.8,0.1,0.1,0.4,0.8
0.8,0,0.8,0.4,0.4,0.8,1,0.8,0.8,0.8,1,1,1,0.4,0.4,0.8,0.4,0.1
0.8,0,0.8,0,0,0.8,1,0.4,0.4,0.8,1,1,0.8,0.4,0.4,0.8,1,0
1,0,1,0.8,0,1,1,0,0.4,0.4,0.8,0.4,0.4,0.8,0.4,0.8,1,0
0.8,0.1,0.1,0.8,0.4,0.8,0.8,0.4,0.8,0.8,1,1,0.8,0.8,0.4,0.4,0.4,0.1
0.8,0,1,0,0.1,0.4,1,0,0.8,0.8,0.4,0.8,0.4,1,0.4,0,0.8,0.1
1,1,1,0.1,0.1,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,1,0.4,0.8,0.8,0
0.8,0.1,0.8,0,0.1,0.4,0.8,0.1,0.1,0.4,0.8,0.8,0.1,0.4,0.8,0.4,0.1,0
0.4,0.8,0.8,0.8,0.4,0.8,1,0.1,0,0,0.4,0.4,0,0.4,0.4,0.8,0,0.1
0.4,0.4,0.1,0.1,0,0.1,0.1,0.1,0.1,0.4,0.8,1,1,1,0.8,0.1,0.8,0
1,1,0.1,0.1,0,0.4,0.8,0.8,0.4,0,1,1,0.8,0.8,0.1,0.1,0.1,0
1,0,1,0.1,0.4,0.4,1,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0.1,0,0,0
0.8,0.1,0.1,0.1,0,1,0.4,0.4,0.8,0.8,1,0.8,0.8,0.1,0,0.4,0.1,0.8
0.8,0,0.8,0.8,0.4,0.4,1,0.4,0.1,0.4,0.4,0.4,0.4,1,1,1,1,0.4
0.4,0.1,0.1,0.1,0,0.8,0.8,0.4,0.4,1,1,1,1,0.8,0.1,0.4,0.1,0.4
0.4,0,0.1,0.4,0.1,0.8,0.8,0.8,0.1,0.4,0.4,0.4,0.4,0.8,0.4,0.1,0.8,0
1,0,1,0.1,0,0.4,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0
1,0.8,0.8,0.4,0.4,0.4,0.8,0.1,0.8,0.8,0.8,0.8,0.8,0.4,0,0.8,0.4,0
0.8,0,0,0,0,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0,0,0.4,0.8
0.4,0.8,0.8,0.1,0,0.8,0.8,0.1,0.1,0.4,0.8,0.8,0.8,0.1,0.4,0,0.8,0
0.4,0.4,0.8,0.4,0.1,0.4,1,0.1,0.8,0.4,1,1,0.4,0.4,0.8,0.4,0.8,0
1,0,0,0.1,0,0.4,0.8,0.1,0.1,0.1,0.4,1,1,1,0.1,0.4,0.1,0
0.8,0.1,0.1,1,0.1,0.8,0.8,0.4,0.4,0.1,0.4,0.4,0.4,0.4,0.8,0.8,0.4,0.4
0.8,0.1,0.8,0.1,0,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.1,0.4,0.8,0
0.8,0,1,0.8,0,0.8,0.8,0.8,0.4,0.4,1,0.8,0.8,0.8,0.8,0.8,1,0
0.1,0.8,0.1,0.1,0,0,0.4,0,0,0.1,0.8,0.4,0.4,0.4,0,0.8,0.1,0
0.8,0.4,0.4,0.4,0.1,0.8,1,0.4,0.8,0.4,0.8,0.4,0.4,0.8,0.1,0.4,0.4,0.1
0.4,0,0.8,0,0,0.8,1,0.1,0.8,0.8,1,1,0.4,1,0,0.1,0.4,0
0.8,0.4,0.4,0.1,0,1,1,0.8,0.8,0.8,1,1,0.8,0.8,1,0.8,0.8,0.1
0.4,0.8,0.8,0.1,0.1,0.8,1,0.4,1,0.4,0.4,0.8,0.8,0.8,0.1,0.4,0.1,0
0.8,0,0.1,0.4,0,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0
0.8,0.1,1,0,0,0.4,0.8,0,0.8,1,1,1,0.8,0.8,0.4,0.4,0.1,0.4
0.8,0,0.8,0.4,0,0.4,0.8,0.8,0.1,0.4,0.8,0.4,0.4,0.4,1,0.4,0.4,0
0.8,0,0,0.4,0,0.8,1,0.8,0.4,0.4,0.4,0.4,0.4,0.8,0.1,0.4,1,0
0.8,0,0.4,0.4,0,0.4,0.8,0.8,0.1,0.4,0.8,1,0.8,0.8,0.4,1,0.1,0
1,0.8,0.1,0,0,1,1,0.8,0.8,0.8,1,1,1,1,0.1,0.1,0.4,0
0,0.1,0.8,0.1,0.1,0.4,0.8,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.1,0
0.8,0,1,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1
0.8,0.1,1,0.1,0,0.4,1,0.1,0.1,0.1,1,1,0.4,0.4,0.8,0.8,0.8,0
0.8,1,1,0.1,0,0.8,1,0.8,0.4,0.4,1,1,1,0.8,0.8,0.4,0.8,0
0.8,0.1,0.1,0.8,0,0.4,1,0.4,0.1,0.4,0.8,0.8,0.8,1,0.1,0.4,0.8,0.4
0.8,0.4,0.8,0.1,0,0.8,0.8,0.8,0.8,0.1,0.8,0.8,0.8,0.8,0.4,0.1,0.1,0
1,0,1,0,0,0.8,0.8,0.8,0.1,0.1,0.8,0.8,0.8,0.8,0,0.8,0.4,0
1,0,1,0.1,0,0.8,0.8,0.4,0.4,0.1,0.4,0.8,0.4,0.4,0,0.1,0,0
0.8,0.4,0.4,0,0,0.4,0.8,0.1,0.4,0.8,1,1,0.8,0.8,0,0,0.4,0.1
0.4,0,1,0.1,0,0.4,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0.8,1,0.8,0.4,0
0.8,0,0,0.1,0,0.8,0.8,0,0.1,0.4,0.8,0.8,0.8,1,0,0.1,0,0.8
0.4,0.1,0,0.4,0.1,1,1,0.1,1,1,1,1,1,1,0.4,0.4,0.1,0
0.1,0,0.8,0.4,0,0.8,0.8,0.4,0.4,0.1,0.4,0.8,0.8,0.8,0.1,0.8,0.1,0
0.8,0.8,0.4,0.1,0.1,0.4,0.8,0.1,0.8,0.4,1,1,1,0.8,0.4,0.4,0.1,0
0.8,0.1,0.1,0.1,0.1,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0.1,0
0.8,0.8,0.4,0.1,0,0.1,0.8,0,0.4,1,1,1,0.4,0.1,0,0.1,0.1,0.4
0.8,0,0.1,0,0,0.8,1,0.8,0.8,0.8,1,1,0.8,1,0,0,0,0.8
1,0,0.8,0.8,0.1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0
0.8,0,0.8,0.1,0,0.4,0.4,0.8,0.8,1,0.8,0.8,0.8,0.8,0.1,0.4,0.4,0.8
1,0.4,0,0,0,0.8,0.8,0.4,0.8,0.1,1,1,0.8,0.8,0,0.4,0.4,0
0.8,0,0,0.1,0.8,0.8,0.4,0.8,0.4,0.4,0.8,0.8,0.4,0.8,0.4,0.1,0,0
0.8,0.1,0.1,0.4,0.4,0.8,0.8,0.8,0.8,0.4,0.8,0.8,0.8,1,0.1,0.4,0.4,0.4
0.8,0.1,0.8,0.8,0.8,1,1,1,0.8,0.8,0.8,0.8,0.8,1,0.4,0.8,0.4,0.1
0.1,0,1,0.1,0.1,0.1,0.8,0.1,0.8,0.4,1,0.8,0.4,0.8,0.8,0.1,0.8,0
0.8,0.4,0.1,0.4,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.8,0.4
0.4,0,0,0.1,0,0.4,0.8,0,0.4,0.8,1,1,0.8,0.4,0.1,0.1,0.8,0.1
0.8,0,0.1,0,0,1,0.1,0.8,0.8,0.4,1,1,1,1,0.1,0.1,0.1,0
0.8,0.4,0.8,0,1,0.4,0.8,0.4,0.4,0.8,0.8,1,1,1,0.8,1,0.8,0
1,0.4,0.8,0.4,0,0.8,0.8,0.8,0.1,0.4,0.8,1,1,1,1,0.4,0.4,0
1,0.4,0.4,1,0,1,0.4,0,0.4,0.1,0.4,0.8,0.1,0.8,1,0.4,0.4,0
